iter	Passed	Remaining
0	4	422
1	5	273
2	6	220
3	7	186
4	9	172
5	10	166
6	11	159
7	13	152
8	14	146
9	15	140
10	16	136
11	18	133
12	19	129
13	20	126
14	21	123
15	23	120
16	24	118
17	25	115
18	26	114
19	27	111
20	29	109
21	30	107
22	31	105
23	32	103
24	34	102
25	35	100
26	36	99
27	37	97
28	39	95
29	40	94
30	41	92
31	42	90
32	43	89
33	45	87
34	46	86
35	47	84
36	48	83
37	50	81
38	51	80
39	52	78
40	53	77
41	54	74
42	55	73
43	56	72
44	57	70
45	59	69
46	60	68
47	61	66
48	63	65
49	64	64
50	65	63
51	66	61
52	67	60
53	68	58
54	69	56
55	70	55
56	71	53
57	72	52
58	73	50
59	74	49
60	75	48
61	76	46
62	76	45
63	77	43
64	78	42
65	79	41
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	84	32
72	85	31
73	86	30
74	87	29
75	88	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	93	19
83	94	18
84	95	16
85	96	15
86	96	14
87	97	13
88	98	12
89	99	11
90	99	9
91	100	8
92	101	7
93	101	6
94	102	5
95	103	4
96	104	3
97	104	2
98	105	1
99	106	0
